Episodes,Emition_Date,Users,Rank,Title,Score
TV (24 eps),Apr 2001 - Sep 2001,"22,290",1714,Mahou Senshi Louie,7.16
TV (12 eps),Feb 2005 - Apr 2005,"9,499",1715,Masuda Kousuke Gekijou Gag Manga Biyori,7.16
TV (13 eps),Oct 2008 - Dec 2008,"62,107",1716,Mouryou no Hako,7.16
TV (40 eps),Jun 1978 - Mar 1979,"3,817",1717,Muteki Koujin Daitarn 3,7.16
TV (12 eps),Jul 2010 - Sep 2010,"276,398",1718,Ookami-san to Shichinin no Nakama-tachi,7.16
TV (12 eps),Oct 2022 - Dec 2022,"5,110",1719,Pui Pui Molcar: Driving School,7.16
TV (24 eps),Oct 2006 - Mar 2007,"42,959",1720,Pumpkin Scissors,7.16
TV (12 eps),Jan 2022 - Mar 2022,"245,522",1721,Sabikui Bisco,7.16
TV (13 eps),Jan 2023 - Apr 2023,"192,165",1722,Saikyou Onmyouji no Isekai Tenseiki,7.16
TV (13 eps),Apr 2001 - Jun 2001,"63,659",1723,Shin Shirayuki-hime Densetsu Prétear,7.16
TV (50 eps),Oct 2009 - Sep 2010,"8,605",1724,Anyamal Tantei Kiruminzoo,7.16
TV (12 eps),Jan 2000 - Mar 2000,"134,248",1725,Boogiepop wa Warawanai,7.16
TV (24 eps),Jul 2016 - Dec 2016,"142,771",1726,Days (TV),7.16
TV (46 eps),Feb 1992 - Jan 1993,"4,478",1727,Densetsu no Yuusha da Garn,7.16
TV (50 eps),Apr 2002 - Mar 2003,"155,689",1728,Digimon Frontier,7.16
TV (10 eps),Jul 2015 - Sep 2015,"142,749",1729,Fate/kaleid liner Prisma☆Illya 2wei Herz!,7.16
TV (12 eps),Apr 2022 - Jun 2022,"295,451",1730,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",7.16
TV (12 eps),Oct 2013 - Dec 2013,"57,446",1731,Gingitsune,7.16
TV (26 eps),Apr 2009 - Sep 2009,"43,850",1732,Guin Saga,7.16
TV (23 eps),Oct 2018 - Mar 2019,"40,462",1733,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari! Season 2",7.16
TV (12 eps),Jan 2023 - Mar 2023,"102,809",1734,High Card,7.16
TV (13 eps),Sep 2012 - Dec 2012,"53,334",1735,Hiiro no Kakera 2nd Season,7.16
TV (10 eps),Oct 2014 - Dec 2014,"204,871",1736,Hitsugi no Chaika: Avenging Battle,7.16
TV (12 eps),Jul 2015 - Sep 2015,"168,561",1737,Joukamachi no Dandelion,7.16
TV (11 eps),Oct 2022 - Dec 2022,"35,713",1738,4-nin wa Sorezore Uso wo Tsuku,7.15
TV (24 eps),Apr 2023 - Oct 2023,"54,221",1739,Ao no Orchestra,7.15
TV (12 eps),Jul 2015 - Sep 2015,"218,419",1740,Aoharu x Kikanjuu,7.15
TV (12 eps),Oct 2011 - Dec 2011,"803,596",1741,Boku wa Tomodachi ga Sukunai,7.15
TV (26 eps),Oct 1999 - Mar 2000,"9,624",1742,Chikyuu Bouei Kigyou Dai-Guard,7.15
TV (66 eps),Oct 1999 - Jan 2001,"9,034",1743,Cyborg Kuro-chan,7.15
TV (12 eps),Apr 2013 - Jun 2013,"1,018,357",1744,Date A Live,7.15
TV (12 eps),Jan 2022 - Mar 2022,"167,934",1745,Fantasy Bishoujo Juniku Ojisan to,7.15
TV (39 eps),Nov 2005 - Sep 2006,"5,015",1746,Gaiking: Legend of Daiku-Maryu,7.15
TV (12 eps),Apr 2013 - Jun 2013,"447,468",1747,Hentai Ouji to Warawanai Neko.,7.15
TV (12 eps),Oct 2021 - Dec 2021,"500,955",1748,Takt Op. Destiny,7.15
TV (26 eps),Apr 2009 - Sep 2009,"78,955",1749,Tears to Tiara,7.15
TV (26 eps),Apr 2002 - Sep 2002,"31,250",1750,Tenchi Muyou! GXP,7.15
TV (13 eps),Jan 2014 - Mar 2014,"100,178",1751,Toaru Hikuushi e no Koiuta,7.15
TV (109 eps),Apr 1980 - Jun 1982,"5,249",1752,Tsurikichi Sanpei,7.15
TV (30 eps),Aug 2022 - Jan 2023,"13,279",1753,Yoru wa Neko to Issho,7.15
TV (12 eps),Jan 2021 - Mar 2021,"75,733",1754,Kai Byoui Ramune,7.15
TV (36 eps),Oct 2018 - Jun 2019,"129,654",1755,Karakuri Circus,7.15
TV (13 eps),Apr 2022 - Jul 2022,"58,445",1756,Kunoichi Tsubaki no Mune no Uchi,7.15
TV (50 eps),Jul 2009 - Jun 2010,"4,967",1757,Kuruneko,7.15
TV (25 eps),Apr 2016 - Sep 2016,"34,782",1758,Kyoukai no Rinne 2nd Season,7.15
TV (13 eps),Jan 2023 - Apr 2023,"21,924",1759,Mou Ippon!,7.15
TV (52 eps),Jan 1980 - Mar 1981,"6,973",1760,Nils no Fushigi na Tabi,7.15
TV (26 eps),Apr 2017 - Sep 2017,"12,679",1761,Nobunaga no Shinobi: Ise Kanegasaki-hen,7.15
TV (46 eps),May 1982 - Mar 1983,"3,365",1762,Ochamegami Monogatari: Korokoro Pollon,7.15
TV (63 eps),Mar 1981 - May 1982,"2,847",1763,Ohayou! Spank,7.15
TV (10 eps),Oct 2013 - Dec 2013,"404,020",1764,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",7.15
TV (12 eps),Jul 2018 - Sep 2018,"57,090",1765,Planet With,7.15
TV (12 eps),Apr 2021 - Jun 2021,"367,194",1766,"Sentouin, Hakenshimasu!",7.15
TV (26 eps),Apr 1999 - Sep 1999,"6,516",1767,Shin Hakkenden,7.15
TV (52 eps),Oct 2002 - Sep 2003,"2,267",1768,Shin Megami Tensei Devil Children: Light & Dark,7.15
TV (42 eps),Apr 1981 - Mar 1982,"5,743",1769,Shin Taketori Monogatari: 1000-nen Joou,7.15
TV (25 eps),Oct 2001 - Mar 2002,"15,012",1770,Kaze no Youjinbou,7.14
TV (26 eps),Apr 2004 - Sep 2004,"21,731",1771,Kenran Butou Sai: The Mars Daybreak,7.14
TV (52 eps),Apr 1993 - Apr 1994,"9,127",1772,Kenyuu Densetsu Yaiba,7.14
TV (12 eps),Apr 2021 - Jun 2021,"234,225",1773,Koi to Yobu ni wa Kimochi Warui,7.14
TV (12 eps),Jul 2010 - Sep 2010,"561,652",1774,Kuroshitsuji II,7.14
TV (12 eps),Oct 2001 - Dec 2001,"63,480",1775,Mahoromatic: Automatic Maiden,7.14
TV (12 eps),Aug 2006 - Oct 2006,"3,344",1776,Masuda Kousuke Gekijou Gag Manga Biyori 2,7.14
TV (26 eps),Jan 2012 - Jul 2012,"74,237",1777,Mouretsu Pirates,7.14
TV (39 eps),Apr 1992 - Mar 1993,879,1778,Oi! Ryouma,7.14
TV (13 eps),Jul 2002 - Sep 2002,"96,904",1779,Saishuu Heiki Kanojo,7.14
TV (50 eps),Feb 1982 - Jan 1983,"5,532",1780,Sentou Mecha Xabungle,7.14
