Episodes,Emition_Date,Users,Rank,Title,Score
TV (28 eps),Sep 2023 -,"500,460",1,Sousou no Frieren,9.13
TV (64 eps),Apr 2009 - Jul 2010,"3,294,991",2,Fullmetal Alchemist: Brotherhood,9.09
TV (24 eps),Apr 2011 - Sep 2011,"2,527,835",3,Steins;Gate,9.07
TV (51 eps),Apr 2015 - Mar 2016,"620,968",4,Gintama°,9.06
TV (10 eps),Apr 2019 - Jul 2019,"2,229,725",5,Shingeki no Kyojin Season 3 Part 2,9.05
TV (148 eps),Oct 2011 - Sep 2014,"2,778,988",6,Hunter x Hunter (2011),9.04
TV (13 eps),Oct 2022 - Dec 2022,"516,729",7,Bleach: Sennen Kessen-hen,9.03
TV (51 eps),Apr 2011 - Mar 2012,"547,852",8,Gintama',9.03
TV (13 eps),Oct 2012 - Mar 2013,"320,940",9,Gintama': Enchousen,9.02
TV (13 eps),Apr 2022 - Jun 2022,"897,905",10,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.02
TV (13 eps),Apr 2021 - Jun 2021,"464,366",11,Fruits Basket: The Final,8.98
TV (12 eps),Jan 2017 - Mar 2017,"310,029",12,Gintama.,8.98
TV (201 eps),Apr 2006 - Mar 2010,"1,053,341",13,Gintama,8.94
TV (24 eps),Oct 2008 - Mar 2009,"1,180,061",14,Clannad: After Story,8.93
TV (22 eps),Oct 2017 - Mar 2018,"396,741",15,3-gatsu no Lion 2nd Season,8.92
TV (25 eps),Apr 2008 - Sep 2008,"1,757,811",16,Code Geass: Hangyaku no Lelouch R2,8.91
TV (14 eps),Jul 2018 - Oct 2018,"195,167",17,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
TV (74 eps),Apr 2004 - Sep 2005,"1,088,468",18,Monster,8.88
TV (23 eps),Jul 2023 - Dec 2023,"813,828",19,Jujutsu Kaisen 2nd Season,8.87
TV (7 eps),Aug 2017 - Aug 2017,"393,683",20,Owarimonogatari 2nd Season,8.87
TV (26 eps),Apr 2020 - Oct 2021,"98,884",21,Kingdom 3rd Season,8.82
TV (24 eps),Oct 2023 -,"257,882",22,Kusuriya no Hitorigoto,8.81
TV (12 eps),Jan 2018 - Mar 2018,"209,421",23,Gintama.: Shirogane no Tamashii-hen,8.81
TV (12 eps),Oct 2022 - Dec 2022,"527,582",24,Bocchi the Rock!,8.80
TV (24 eps),Jan 2023 - Jun 2023,"563,187",25,Vinland Saga Season 2,8.80
TV (13 eps),Jan 2019 - Apr 2019,"1,500,963",26,Mob Psycho 100 II,8.79
TV (16 eps),Dec 2020 - Mar 2021,"1,955,557",27,Shingeki no Kyojin: The Final Season,8.79
TV (10 eps),Oct 2016 - Dec 2016,"1,183,493",28,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78
TV (75 eps),Oct 2000 - Mar 2002,"580,074",29,Hajime no Ippo,8.77
TV (11 eps),Dec 2021 - Feb 2022,"1,377,660",30,Kimetsu no Yaiba: Yuukaku-hen,8.77
TV (12 eps),Jan 2022 - Apr 2022,"1,248,639",31,Shingeki no Kyojin: The Final Season Part 2,8.77
TV (26 eps),Jul 2013 - Dec 2013,"663,187",32,Monogatari Series: Second Season,8.76
TV (24 eps),Jul 2019 - Dec 2019,"1,469,496",33,Vinland Saga,8.75
TV (26 eps),Apr 1998 - Apr 1999,"1,838,342",34,Cowboy Bebop,8.75
TV (26 eps),Apr 2022 - Oct 2022,"60,461",35,Kingdom 4th Season,8.74
TV (10 eps),Oct 2014 - Dec 2014,"262,909",36,Mushishi Zoku Shou 2nd Season,8.73
TV (13 eps),Jan 2024 -,"104,700",37,Boku no Kokoro no Yabai Yatsu Season 2,8.73
TV (47 eps),Oct 1980 - Aug 1981,"50,825",38,Ashita no Joe 2,8.72
TV (12 eps),Jan 2017 - Mar 2017,"185,682",39,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.72
TV (12 eps),Oct 2022 - Dec 2022,"645,795",40,Mob Psycho 100 III,8.71
TV (? eps),Oct 1999 -,"2,306,459",41,One Piece,8.71
TV (11 eps),Apr 2023 - Jun 2023,"735,786",42,"""Oshi no Ko""",8.71
TV (12 eps),Oct 2021 - Mar 2022,"479,194",43,86 Part 2,8.70
TV (13 eps),Jul 2023 - Sep 2023,"246,486",44,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70
TV (25 eps),Oct 2006 - Jul 2007,"2,222,223",45,Code Geass: Hangyaku no Lelouch,8.70
TV (10 eps),Apr 2014 - Jun 2014,"296,726",46,Mushishi Zoku Shou,8.69
TV (43 eps),Jun 1999 - Sep 2000,"815,545",47,Great Teacher Onizuka,8.69
TV (? eps),Jan 2024 -,"23,257",48,Kingdom 5th Season,8.68
TV (12 eps),Oct 2021 - Dec 2021,"884,207",49,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.68
TV (13 eps),Apr 2021 - Jun 2021,"420,024",50,Odd Taxi,8.67
TV (13 eps),Jan 2018 - Apr 2018,"1,750,596",51,Violet Evergarden,8.67
TV (26 eps),Jan 2009 - Jul 2009,"281,437",52,Hajime no Ippo: New Challenger,8.67
TV (11 eps),Jul 2023 - Sep 2023,"162,533",53,Bungou Stray Dogs 5th Season,8.66
TV (26 eps),Oct 2005 - Jun 2006,"819,454",54,Mushishi,8.66
TV (13 eps),Jul 2017 - Sep 2017,"1,355,168",55,Made in Abyss,8.65
TV (12 eps),Jul 2022 - Sep 2022,"426,923",56,Made in Abyss: Retsujitsu no Ougonkyou,8.64
TV (13 eps),Jan 2012 - Mar 2012,"242,729",57,Natsume Yuujinchou Shi,8.64
TV (22 eps),Oct 2014 - Mar 2015,"2,180,889",58,Shigatsu wa Kimi no Uso,8.64
TV (12 eps),Apr 2020 - Jun 2020,"1,317,969",59,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.63
TV (25 eps),Oct 2015 - Mar 2016,"1,407,951",60,Haikyuu!! Second Season,8.63
TV (27 eps),Apr 2007 - Sep 2007,"1,593,295",61,Tengen Toppa Gurren Lagann,8.63
TV (11 eps),Apr 2017 - Jun 2017,"183,784",62,Natsume Yuujinchou Roku,8.62
TV (11 eps),Apr 2014 - Jun 2014,"388,379",63,Ping Pong the Animation,8.62
TV (12 eps),Jul 2018 - Oct 2018,"2,323,482",64,Shingeki no Kyojin Season 3,8.62
TV (37 eps),Oct 2006 - Jun 2007,"3,845,470",65,Death Note,8.62
TV (24 eps),Oct 2020 - Mar 2021,"2,460,340",66,Jujutsu Kaisen,8.62
TV (25 eps),Oct 2013 - Mar 2014,"255,195",67,Hajime no Ippo: Rising,8.60
TV (25 eps),Oct 1997 - Apr 1998,"645,084",68,Kenpuu Denki Berserk,8.58
TV (11 eps),Oct 2016 - Dec 2016,"183,599",69,Natsume Yuujinchou Go,8.57
TV (13 eps),Jul 2011 - Sep 2011,"250,097",70,Natsume Yuujinchou San,8.57
TV (39 eps),Oct 2018 - Jul 2019,"1,005,548",71,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.57
TV (13 eps),Jan 2016 - Apr 2016,"288,711",72,Shouwa Genroku Rakugo Shinjuu,8.56
TV (11 eps),Apr 2010 - Jul 2010,"444,868",73,Yojouhan Shinwa Taikei,8.56
TV (101 eps),Oct 1993 - Mar 1996,"295,869",74,Slam Dunk,8.55
TV (12 eps),Apr 2022 - Jun 2022,"1,496,656",75,Spy x Family,8.55
TV (12 eps),Apr 2012 - Jun 2012,"1,105,853",76,Fate/Zero 2nd Season,8.55
TV (25 eps),Apr 2020 - Sep 2020,"499,343",77,Fruits Basket 2nd Season,8.55
TV (12 eps),Oct 2020 - Dec 2020,"796,746",78,Haikyuu!! To the Top Part 2,8.55
TV (47 eps),Apr 2006 - Mar 2007,"652,706",79,Nana,8.55
TV (25 eps),Apr 2013 - Sep 2013,"3,887,134",80,Shingeki no Kyojin,8.54
TV (13 eps),Jan 2009 - Mar 2009,"245,883",81,Zoku Natsume Yuujinchou,8.54
TV (23 eps),Apr 2018 - Sep 2018,"859,449",82,Steins;Gate 0,8.53
TV (13 eps),Jan 2021 - Apr 2021,"217,515",83,Yuru Camp△ Season 2,8.53
TV (25 eps),Oct 2012 - Mar 2013,"327,603",84,Bakuman. 3rd Season,8.53
TV (12 eps),Oct 2022 - Dec 2022,"1,448,225",85,Chainsaw Man,8.53
TV (13 eps),Oct 2017 - Dec 2017,"198,867",86,Gintama.: Porori-hen,8.52
TV (13 eps),Jan 2018 - Mar 2018,"496,642",87,Sora yori mo Tooi Basho,8.52
TV (26 eps),Jan 2004 - Jan 2005,"225,488",88,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52
TV (23 eps),Oct 2021 - Mar 2022,"624,416",89,Ousama Ranking,8.52
TV (26 eps),May 2004 - Mar 2005,"1,224,559",90,Samurai Champloo,8.51
TV (12 eps),Apr 2017 - Jun 2017,"2,676,582",91,Shingeki no Kyojin Season 2,8.51
TV (39 eps),Apr 2016 - Dec 2016,"1,104,333",92,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50
TV (12 eps),Oct 2015 - Dec 2015,"3,169,819",93,One Punch Man,8.50
TV (12 eps),Jan 2019 - Mar 2019,"1,938,368",94,Yakusoku no Neverland,8.50
TV (25 eps),Apr 2022 - Sep 2022,"502,838",95,Summertime Render,8.49
TV (99 eps),Apr 2012 - Mar 2014,"192,324",96,Uchuu Kyoudai,8.49
TV (25 eps),Jan 2016 - Jul 2016,"1,412,388",97,Ansatsu Kyoushitsu 2nd Season,8.49
TV (12 eps),Jul 2016 - Sep 2016,"2,038,222",98,Mob Psycho 100,8.49
TV (26 eps),Apr 2019 - Sep 2019,"2,964,143",99,Kimetsu no Yaiba,8.48
TV (13 eps),Jan 2008 - Apr 2008,"127,589",100,Aria the Origination,8.48
TV (24 eps),Jul 2018 - Dec 2018,"848,588",101,Banana Fish,8.47
TV (26 eps),Apr 2010 - Sep 2010,"391,948",102,Rainbow: Nisha Rokubou no Shichinin,8.47
TV (26 eps),Apr 2011 - Sep 2011,"883,851",103,Nichijou,8.46
TV (12 eps),Jan 2024 -,"403,982",104,Ore dake Level Up na Ken,8.46
TV (112 eps),Oct 1992 - Jan 1995,"679,779",105,Yuu☆Yuu☆Hakusho,8.46
TV (24 eps),Oct 2019 - Mar 2020,"138,703",106,Chihayafuru 3,8.46
TV (13 eps),Jan 2023 - Mar 2023,"273,010",107,Bungou Stray Dogs 4th Season,8.45
TV (12 eps),Oct 2020 - Dec 2020,"165,097",108,Golden Kamuy 3rd Season,8.45
TV (12 eps),Oct 2015 - Dec 2015,"473,159",109,Owarimonogatari,8.45
TV (6 eps),May 2019 - Jun 2019,"222,776",110,Zoku Owarimonogatari,8.44
TV (25 eps),Apr 2014 - Sep 2014,"1,938,870",111,Haikyuu!!,8.44
TV (24 eps),Jan 2015 - Jun 2015,"1,095,365",112,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44
TV (12 eps),Jan 2021 - Mar 2021,"867,222",113,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44
TV (12 eps),Oct 2023 - Dec 2023,"308,813",114,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.43
TV (12 eps),Jul 2018 - Sep 2018,"765,593",115,Grand Blue,8.43
TV (13 eps),Oct 2019 - Dec 2019,"173,836",116,Kono Oto Tomare! Part 2,8.42
TV (26 eps),Oct 2002 - Oct 2003,"393,804",117,Koukaku Kidoutai: Stand Alone Complex,8.42
TV (12 eps),Jul 2007 - Sep 2007,"322,715",118,Mononoke,8.42
TV (24 eps),Jan 2018 - Jun 2018,"631,398",119,Saiki Kusuo no Ψ-nan 2,8.42
TV (12 eps),Jan 2019 - Mar 2019,"1,708,146",120,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41
TV (12 eps),Jan 2022 - Mar 2022,"182,096",121,Karakai Jouzu no Takagi-san 3,8.41
TV (120 eps),Jul 2016 - Dec 2016,"1,084,116",122,Saiki Kusuo no Ψ-nan,8.41
TV (62 eps),Oct 1999 - Mar 2001,"583,832",123,Hunter x Hunter,8.41
TV (25 eps),Jan 2009 - Jun 2009,"70,444",124,Major S5,8.40
TV (13 eps),Apr 2021 - Jun 2021,"527,145",125,Vivy: Fluorite Eye's Song,8.40
TV (12 eps),Oct 2017 - Dec 2017,"453,559",126,Houseki no Kuni,8.39
TV (23 eps),Oct 2018 - Mar 2019,"296,908",127,Kaze ga Tsuyoku Fuiteiru,8.39
TV (7 eps),Oct 2021 - Nov 2021,"719,081",128,Kimetsu no Yaiba: Mugen Ressha-hen,8.38
TV (12 eps),Jan 2021 - Mar 2021,"930,125",129,Tensei shitara Slime Datta Ken 2nd Season,8.38
TV (22 eps),Oct 2016 - Mar 2017,"671,325",130,3-gatsu no Lion,8.38
TV (25 eps),Jan 2013 - Jun 2013,"233,482",131,Chihayafuru 2,8.38
TV (50 eps),Apr 2009 - Mar 2010,"123,476",132,Cross Game,8.38
TV (12 eps),Jul 2014 - Sep 2014,"656,619",133,Barakamon,8.37
TV (11 eps),Jan 2021 - Mar 2021,"1,275,147",134,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37
TV (12 eps),Jan 2021 - Mar 2021,"122,216",135,Non Non Biyori Nonstop,8.37
TV (12 eps),Jan 2011 - Apr 2011,"1,272,445",136,Mahou Shoujo Madoka★Magica,8.36
TV (13 eps),Jul 2007 - Nov 2007,"898,765",137,Baccano!,8.36
TV (13 eps),Jan 2020 - Apr 2020,"918,255",138,Haikyuu!! To the Top,8.36
TV (12 eps),Jul 2020 - Sep 2020,"716,392",139,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36
TV (11 eps),Jul 2011 - Sep 2011,"491,521",140,Usagi Drop,8.35
TV (26 eps),Oct 1995 - Mar 1996,"1,790,066",141,Shinseiki Evangelion,8.35
TV (11 eps),Oct 2023 - Dec 2023,"233,314",142,Dr. Stone: New World Part 2,8.35
TV (20 eps),Apr 2021 - Aug 2021,"853,508",143,Fumetsu no Anata e,8.35
TV (25 eps),Oct 2011 - Mar 2012,"351,029",144,Bakuman. 2nd Season,8.34
TV (17 eps),Oct 2022 - Feb 2023,"13,350",145,IDOLiSH7 Third Beat! Part 2,8.34
TV (26 eps),Apr 1998 - Dec 1998,"376,106",146,Initial D First Stage,8.34
TV (22 eps),Oct 2012 - Mar 2013,"1,615,526",147,Psycho-Pass,8.34
TV (24 eps),Oct 2014 - Mar 2015,"1,843,195",148,Kiseijuu: Sei no Kakuritsu,8.33
TV (25 eps),Oct 2008 - Apr 2009,"235,993",149,One Outs,8.33
TV (13 eps),Jul 2020 - Sep 2020,"1,087,749",150,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33
TV (33 eps),Jan 1995 - Dec 1995,"49,522",151,Romeo no Aoi Sora,8.33
TV (15 eps),Jul 2009 - Jun 2010,"1,387,005",152,Bakemonogatari,8.33
TV (12 eps),Jul 2021 - Sep 2021,"735,191",153,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33
TV (40 eps),Oct 1979 - Sep 1980,"96,329",154,Versailles no Bara,8.33
TV (39 eps),Jun 2013 - Mar 2014,"123,686",155,Kingdom 2nd Season,8.32
TV (25 eps),Apr 2010 - Sep 2010,"62,372",156,Major S6,8.32
TV (13 eps),Apr 2015 - Jun 2015,"844,912",157,Fate/stay night: Unlimited Blade Works 2nd Season,8.32
TV (11 eps),Jul 2019 - Sep 2019,"561,011",158,Given,8.32
TV (25 eps),Oct 2022 - Mar 2023,"613,571",159,Boku no Hero Academia 6th Season,8.31
TV (13 eps),Oct 2016 - Dec 2016,"224,754",160,Hibike! Euphonium 2,8.31
TV (12 eps),Jan 2010 - Dec 2010,"557,562",161,Katanagatari,8.31
TV (50 eps),Jan 2009 - Dec 2009,"85,644",162,Kemono no Souja Erin,8.31
TV (13 eps),Jul 2008 - Sep 2008,"534,376",163,Natsume Yuujinchou,8.31
TV (24 eps),Jul 2006 - Dec 2006,"734,182",164,NHK ni Youkoso!,8.31
TV (12 eps),Jul 2009 - Sep 2009,"487,297",165,Ookami to Koushinryou II,8.31
TV (20 eps),Oct 2022 - Feb 2023,"602,437",166,Kage no Jitsuryokusha ni Naritakute!,8.30
TV (25 eps),Jan 2015 - Jun 2015,"753,416",167,Kuroko no Basket 3rd Season,8.30
TV (12 eps),Apr 2012 - Jun 2012,"382,013",168,Sakamichi no Apollon,8.30
TV (11 eps),Apr 2011 - Jun 2011,"1,591,541",169,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.30
TV (79 eps),Apr 1970 - Sep 1971,"90,492",170,Ashita no Joe,8.30
TV (12 eps),Jan 2016 - Mar 2016,"2,064,239",171,Boku dake ga Inai Machi,8.30
TV (51 eps),Apr 2015 - Mar 2016,"136,147",172,Diamond no Ace: Second Season,8.30
TV (11 eps),Apr 2021 - Jun 2021,"749,283",173,86,8.29
TV (26 eps),Oct 2004 - Mar 2005,"337,813",174,Beck,8.29
TV (24 eps),Oct 2022 - Mar 2023,"641,417",175,Blue Lock,8.29
TV (4 eps),May 2014 - Jun 2014,"141,126",176,Initial D Final Stage,8.29
TV (12 eps),Jul 2023 - Sep 2023,"495,019",177,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.29
TV (94 eps),Jan 1996 - Sep 1998,"491,344",178,Rurouni Kenshin: Meiji Kenkaku Romantan,8.29
TV (12 eps),Jan 2024 -,"120,324",179,Yubisaki to Renren,8.28
TV (13 eps),Apr 2021 - Jun 2021,"245,882",180,Yuukoku no Moriarty Part 2,8.28
TV (24 eps),Jul 2019 - Dec 2019,"1,709,014",181,Dr. Stone,8.28
TV (13 eps),Apr 2003 - Jul 2003,"312,015",182,Kino no Tabi: The Beautiful World,8.28
TV (24 eps),Oct 2014 - Mar 2015,"441,861",183,Shirobako,8.28
TV (11 eps),Apr 2023 - Jun 2023,"762,231",184,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.27
TV (12 eps),Jul 2021 - Sep 2021,"544,802",185,Kobayashi-san Chi no Maid Dragon S,8.27
TV (25 eps),Sep 2012 - Mar 2013,"771,964",186,Shinsekai yori,8.27
TV (13 eps),Oct 2022 - Dec 2022,"875,225",187,Spy x Family Part 2,8.27
TV (12 eps),Jan 2018 - Mar 2018,"479,880",188,Yuru Camp△,8.27
TV (13 eps),Oct 2011 - Dec 2011,"1,486,800",189,Fate/Zero,8.27
TV (11 eps),Jan 2014 - Mar 2014,"144,559",190,Gin no Saji 2nd Season,8.27
TV (26 eps),Oct 2007 - Apr 2008,"350,441",191,Gyakkyou Burai Kaiji: Ultimate Survivor,8.27
TV (13 eps),Jun 2023 - Sep 2023,"15,897",192,BanG Dream! It's MyGO!!!!!,8.26
TV (52 eps),Apr 2019 - Mar 2020,"88,602",193,Diamond no Ace: Act II,8.26
TV (10 eps),Jan 2017 - Mar 2017,"1,488,761",194,Kono Subarashii Sekai ni Shukufuku wo! 2,8.26
TV (500 eps),Feb 2007 - Mar 2017,"2,444,736",195,Naruto: Shippuuden,8.26
TV (23 eps),Jan 2007 - Jun 2007,"312,707",196,Nodame Cantabile,8.26
TV (26 eps),Oct 2003 - Apr 2004,"251,176",197,Planetes,8.26
TV (13 eps),Jul 2014 - Sep 2014,"166,370",198,Space☆Dandy 2nd Season,8.26
TV (14 eps),Oct 2021 - Jan 2022,"112,967",199,World Trigger 3rd Season,8.26
TV (24 eps),Jan 2019 - Jun 2019,"1,202,250",200,Dororo,8.25
TV (26 eps),Apr 2011 - Sep 2011,"191,751",201,Gyakkyou Burai Kaiji: Hakairoku-hen,8.25
TV (13 eps),Oct 2018 - Dec 2018,"1,708,640",202,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.24
TV (12 eps),Apr 2023 - Jun 2023,"247,920",203,Boku no Kokoro no Yabai Yatsu,8.24
TV (12 eps),Oct 2018 - Dec 2018,"201,032",204,Golden Kamuy 2nd Season,8.24
TV (12 eps),Jan 2012 - Mar 2012,"814,840",205,Danshi Koukousei no Nichijou,8.23
TV (11 eps),Jan 2023 - Mar 2023,"199,454",206,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.23
TV (13 eps),Jul 2021 - Sep 2021,"21,967",207,IDOLiSH7 Third Beat!,8.23
TV (78 eps),Apr 1990 - Oct 1991,"27,083",208,Tanoshii Muumin Ikka,8.23
TV (25 eps),Oct 2016 - Apr 2017,"142,163",209,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23
TV (11 eps),Jan 2010 - Mar 2010,"127,303",210,Nodame Cantabile Finale,8.23
TV (25 eps),Apr 2016 - Sep 2016,"2,164,096",211,Re:Zero kara Hajimeru Isekai Seikatsu,8.23
TV (12 eps),Jan 2015 - Mar 2015,"403,760",212,Kamisama Hajimemashita◎,8.22
TV (26 eps),Jan 2007 - Jun 2007,"68,743",213,Major S3,8.22
TV (13 eps),Jan 2008 - Mar 2008,"806,935",214,Ookami to Koushinryou,8.22
TV (12 eps),Jan 2022 - Mar 2022,"187,895",215,Sasaki to Miyano,8.22
TV (23 eps),Jul 2020 - Dec 2020,"649,597",216,Great Pretender,8.22
TV (26 eps),Apr 1998 - Sep 1998,"753,172",217,Trigun,8.22
TV (39 eps),Apr 1997 - Dec 1997,"216,836",218,Shoujo Kakumei Utena,8.21
TV (12 eps),Oct 2017 - Dec 2017,"337,690",219,Shoujo Shuumatsu Ryokou,8.21
TV (77 eps),Apr 2011 - Sep 2012,"223,661",220,SKET Dance,8.21
TV (13 eps),Apr 2023 - Jun 2023,"432,390",221,Tengoku Daimakyou,8.21
TV (13 eps),Apr 2008 - Jun 2008,"142,540",222,xxxHOLiC◆Kei,8.21
TV (13 eps),Apr 2015 - Jun 2015,"1,049,722",223,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.21
TV (25 eps),Oct 2013 - Mar 2014,"846,080",224,Kuroko no Basket 2nd Season,8.21
TV (25 eps),Oct 2013 - Mar 2014,"834,401",225,Magi: The Kingdom of Magic,8.21
TV (26 eps),Nov 2004 - May 2005,"100,591",226,Major S1,8.21
TV (12 eps),Apr 2019 - Jun 2019,"621,273",227,Bungou Stray Dogs 3rd Season,8.21
TV (25 eps),Apr 2019 - Sep 2019,"815,878",228,Fruits Basket 1st Season,8.21
TV (13 eps),Jul 2023 - Sep 2023,"290,914",229,Horimiya: Piece,8.21
TV (13 eps),Jan 2021 - Apr 2021,"1,344,185",230,Horimiya,8.20
TV (26 eps),Oct 2009 - Mar 2010,"280,692",231,InuYasha: Kanketsu-hen,8.20
TV (12 eps),Jan 2022 - Mar 2022,"1,024,626",232,Sono Bisque Doll wa Koi wo Suru,8.20
TV (12 eps),Jan 2022 - Apr 2022,"270,601",233,Vanitas no Karte Part 2,8.20
TV (96 eps),Mar 1986 - Mar 1988,"71,952",234,Maison Ikkoku,8.19
TV (26 eps),Dec 2005 - Jun 2006,"71,342",235,Major S2,8.19
TV (26 eps),Jan 2008 - Jun 2008,"64,967",236,Major S4,8.19
TV (13 eps),Apr 2021 - Jun 2021,"197,994",237,Nomad: Megalo Box 2,8.19
TV (13 eps),Jul 2019 - Sep 2019,"38,712",238,Senki Zesshou Symphogear XV,8.19
TV (24 eps),Apr 2022 - Sep 2022,"201,599",239,Ao Ashi,8.19
TV (12 eps),Jul 2018 - Sep 2018,"471,784",240,Asobi Asobase,8.19
TV (12 eps),Oct 2016 - Dec 2016,"843,775",241,Bungou Stray Dogs 2nd Season,8.19
TV (12 eps),Jun 2006 - Sep 2006,"106,255",242,Hachimitsu to Clover II,8.19
TV (13 eps),Oct 2013 - Dec 2013,"165,424",243,Little Busters! Refrain,8.18
TV (13 eps),Jul 2022 - Sep 2022,"473,324",244,Lycoris Recoil,8.18
TV (12 eps),Jul 2015 - Sep 2015,"198,683",245,Non Non Biyori Repeat,8.18
TV (25 eps),Oct 2010 - Apr 2011,"616,138",246,Bakuman.,8.18
TV (24 eps),Jul 2017 - Dec 2017,"331,298",247,Ballroom e Youkoso,8.18
TV (25 eps),Oct 2011 - Mar 2012,"456,889",248,Chihayafuru,8.18
TV (12 eps),Oct 2014 - Dec 2014,"1,057,965",249,Fate/stay night: Unlimited Blade Works,8.18
TV (26 eps),Apr 2006 - Sep 2006,"78,476",250,Aria the Natural,8.17
TV (12 eps),Oct 2006 - Dec 2006,"513,282",251,Black Lagoon: The Second Barrage,8.17
TV (70 eps),Apr 1998 - Mar 2000,"432,912",252,Cardcaptor Sakura,8.17
TV (11 eps),Jan 2021 - Mar 2021,"1,019,720",253,Dr. Stone: Stone Wars,8.17
TV (291 eps),Apr 1989 - Jan 1996,"1,210,995",254,Dragon Ball Z,8.17
TV (24 eps),Jul 2007 - Dec 2007,"476,139",255,Higurashi no Naku Koro ni Kai,8.17
TV (24 eps),Apr 2004 - Feb 2006,"184,520",256,Initial D Fourth Stage,8.17
TV (13 eps),Oct 1999 - Jan 2000,"215,939",257,Initial D Second Stage,8.17
TV (26 eps),Apr 2010 - Sep 2010,"688,284",258,K-On!!,8.17
TV (11 eps),Oct 2020 - Dec 2020,"418,493",259,Yuukoku no Moriarty,8.17
TV (? eps),Jan 1996 -,"344,808",260,Meitantei Conan,8.17
TV (26 eps),Apr 2006 - Sep 2006,"1,111,961",261,Ouran Koukou Host Club,8.16
TV (25 eps),Jan 2020 - Sep 2020,"228,407",262,Toaru Kagaku no Railgun T,8.16
TV (24 eps),Apr 2015 - Sep 2015,"1,626,221",263,Shokugeki no Souma,8.15
TV (13 eps),Oct 2015 - Dec 2015,"1,440,422",264,Noragami Aragoto,8.15
TV (12 eps),Apr 2022 - Jun 2022,"285,547",265,Paripi Koumei,8.15
TV (170 eps),Oct 2017 - Mar 2021,"1,632,622",266,Black Clover,8.15
TV (12 eps),Jan 2015 - Mar 2015,"1,746,962",267,Death Parade,8.15
TV (11 eps),Apr 2023 - Jun 2023,"434,207",268,Dr. Stone: New World,8.15
TV (15 eps),Apr 2020 - Dec 2020,"30,817",269,IDOLiSH7 Second Beat!,8.14
TV (24 eps),Oct 2018 - Mar 2019,"1,408,396",270,Tensei shitara Slime Datta Ken,8.14
TV (12 eps),Apr 2008 - Jul 2008,"150,559",271,Kaiba,8.14
TV (11 eps),Jan 2012 - Mar 2012,"725,691",272,Nisemonogatari,8.14
TV (38 eps),Aug 2002 - May 2003,"167,493",273,Princess Tutu,8.14
TV (203 eps),Oct 2006 - Sep 2010,"553,584",274,Katekyou Hitman Reborn!,8.13
TV (13 eps),Apr 2019 - Aug 2019,"22,153",275,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,8.13
TV (24 eps),Apr 2018 - Sep 2018,"43,691",276,Lupin III: Part 5,8.13
TV (11 eps),Oct 2008 - Dec 2008,"124,037",277,Nodame Cantabile: Paris-hen,8.13
TV (26 eps),Apr 2007 - Sep 2007,"216,865",278,Seirei no Moribito,8.13
TV (12 eps),Jan 2023 - Apr 2023,"254,021",279,Buddy Daddies,8.13
TV (12 eps),Jan 2020 - Mar 2020,"331,261",280,Eizouken ni wa Te wo Dasu na!,8.13
TV (24 eps),Oct 2004 - Mar 2005,"247,668",281,Gankutsuou,8.13
TV (13 eps),Oct 2022 - Jun 2023,"91,708",282,Golden Kamuy 4th Season,8.13
TV (12 eps),Apr 2018 - Jun 2018,"505,785",283,Hinamatsuri (TV),8.13
TV (12 eps),Apr 2023 - Jun 2023,"239,008",284,Skip to Loafer,8.13
TV (13 eps),Jul 2022 - Sep 2022,"595,401",285,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,8.12
TV (13 eps),Apr 2023 - Jul 2023,"632,065",286,Jigokuraku,8.12
